From,To,Species,Gene Name,,,,,,,,,Gene stable ID,Transcript stable ID,,,,Elements only in List 2 :
101250205,Solyc04g011900.3,Solanum lycopersicum,uncharacterized LOC101250205(LOC101250205),,,,,,,,,Solyc04g074040.3,Solyc04g074040.3.1,,,,
101252867,Solyc04g017720.3,Solanum lycopersicum,protein GAST1-like(LOC101252867),,,,,,,,,Solyc04g077490.3,Solyc04g077490.3.1,,,,
101259010,Solyc02g092490.3,Solanum lycopersicum,probable N-acetyltransferase HLS2(LOC101259010),,,,,,,,,Solyc10g085980.2,Solyc10g085980.2.1,,,,
101259494,Solyc10g077120.2,Solanum lycopersicum,"photosystem II core complex proteins psbY, chloroplastic(LOC101259494)",,,,,,,,,Solyc02g091670.1,Solyc02g091670.1.1,,,,
101262674,Solyc10g080490.2,Solanum lycopersicum,"probable plastid-lipid-associated protein 13, chloroplastic(LOC101262674)",,,,,,,,,Solyc03g025710.3,Solyc03g025710.3.1,,,,
101264850,Solyc01g014320.3,Solanum lycopersicum,probable S-adenosylmethionine-dependent methyltransferase At5g38100(LOC101264850),,,,,,,,,Solyc08g062760.1,Solyc08g062760.1.1,,,,
100736477,Solyc01g111310.3,Solanum lycopersicum,auxin transporter-like protein 2(LAX2),,,,,,,,,Solyc12g055710.1,Solyc12g055710.1.1,,,,
101259014,Solyc11g009050.2,Solanum lycopersicum,F-box protein FBW2(LOC101259014),,,,,,,,,Solyc07g006000.3,Solyc07g006000.3.1,,,,
101260492,Solyc02g094420.3,Solanum lycopersicum,"probable inactive shikimate kinase like 1, chloroplastic(LOC101260492)",,,,,,,,,Solyc07g052440.3,Solyc07g052440.3.1,,,,
100736474,Solyc05g049970.3,Solanum lycopersicum,mitogen-activated protein kinase 6(MAPK6),,,,,,,,,Solyc01g005530.3,Solyc01g005530.3.1,,,,
101265706,Solyc12g009930.2,Solanum lycopersicum,zeatin O-glucosyltransferase(LOC101265706),,,,,,,,,Solyc02g084390.3,Solyc02g084390.3.1,,,,
101260497,Solyc02g086370.3,Solanum lycopersicum,lipid phosphate phosphatase 2(LOC101260497),,,,,,,,,Solyc03g007330.3,Solyc03g007330.3.1,,,,
101262675,Solyc02g092370.1,Solanum lycopersicum,protein SHORT-ROOT(LOC101262675),,,,,,,,,Solyc08g082590.3,Solyc08g082590.3.1,,,,
101265702,Solyc02g065050.1,Solanum lycopersicum,aspartic proteinase PCS1-like(LOC101265702),,,,,,,,,Solyc09g074880.3,Solyc09g074880.3.1,,,,
101263525,Solyc06g064940.3,Solanum lycopersicum,patellin-3-like(LOC101263525),,,,,,,,,Solyc11g065900.2,Solyc11g065900.2.1,,,,
101261347,Solyc08g041860.1,Solanum lycopersicum,uncharacterized LOC101261347(LOC101261347),,,,,,,,,Solyc12g009200.2,Solyc12g009200.2.1,,,,
101250672,Solyc12g056950.2,Solanum lycopersicum,protein MARD1-like(LOC101250672),,,,,,,,,Solyc03g114070.3,Solyc03g114070.3.1,,,,
101251520,Solyc01g110160.3,Solanum lycopersicum,uncharacterized LOC101251520(LOC101251520),,,,,,,,,Solyc07g064410.1,Solyc07g064410.1.1,,,,
101252850,Solyc03g019880.3,Solanum lycopersicum,"UPF0426 protein At1g28150, chloroplastic(LOC101252850)",,,,,,,,,Solyc01g006690.3,Solyc01g006690.3.1,,,,
101249681,Solyc01g100530.3,Solanum lycopersicum,uncharacterized LOC101249681(LOC101249681),,,,,,,,,Solyc02g079200.1,Solyc02g079200.1.1,,,,
101252856,Solyc03g097320.3,Solanum lycopersicum,RNA polymerase sigma factor sigA(LOC101252856),,,,,,,,,Solyc03g095490.3,Solyc03g095490.3.1,,,,
101259489,Solyc01g112300.3,Solanum lycopersicum,chloride channel protein CLC-e(LOC101259489),,,,,,,,,Solyc04g015280.3,Solyc04g015280.3.1,,,,
101252854,Solyc03g095500.3,Solanum lycopersicum,thioredoxin H4-1(LOC101252854),,,,,,,,,Solyc05g012680.3,Solyc05g012680.3.1,,,,
101258155,Solyc05g052570.3,Solanum lycopersicum,zinc finger CCCH domain-containing protein 29(LOC101258155),,,,,,,,,Solyc08g075430.3,Solyc08g075430.3.1,,,,
101259486,Solyc09g098290.3,Solanum lycopersicum,probably inactive leucine-rich repeat receptor-like protein kinase At3g28040(LOC101259486),,,,,,,,,Solyc10g074540.1,Solyc10g074540.1.1,,,,
101243905,Solyc07g042440.3,Solanum lycopersicum,"peroxiredoxin Q, chloroplastic(LOC101243905)",,,,,,,,,Solyc02g090360.3,Solyc02g090360.3.1,,,,
100736463,Solyc05g047460.3,Solanum lycopersicum,auxin response factor 19b(ARF19B),,,,,,,,,Solyc02g081920.3,Solyc02g081920.3.1,,,,
100736460,Solyc05g007420.1,Solanum lycopersicum,TCP transcription factor 23(TCP23),,,,,,,,,Solyc02g063546.1,Solyc02g063546.1.1,,,,
101247026,Solyc05g044630.3,Solanum lycopersicum,"nifU-like protein 3, chloroplastic(LOC101247026)",,,,,,,,,Solyc02g063542.1,Solyc02g063542.1.1,,,,
101263538,Solyc08g077170.3,Solanum lycopersicum,protein NRT1/ PTR FAMILY 7.3(LOC101263538),,,,,,,,,Solyc07g054850.3,Solyc07g054850.3.1,,,,
101260026,Solyc12g070270.2,Solanum lycopersicum,ABC transporter B family member 29(ABCB29),,,,,,,,,Solyc01g010640.3,Solyc01g010640.3.1,,,,
101248359,Solyc03g007180.1,Solanum lycopersicum,uncharacterized LOC101248359(LOC101248359),,,,,,,,,Solyc01g009080.3,Solyc01g009080.3.1,,,,
101260027,Solyc12g088650.2,Solanum lycopersicum,cyclin-D3-3(LOC101260027),,,,,,,,,Solyc01g087560.3,Solyc01g087560.3.1,,,,
101251552,Solyc03g025730.3,Solanum lycopersicum,tubulin beta-1 chain(LOC101251552),,,,,,,,,Solyc06g073290.1,Solyc06g073290.1.1,,,,
101248387,Solyc05g005230.3,Solanum lycopersicum,uncharacterized LOC101248387(LOC101248387),,,,,,,,,Solyc06g066530.1,Solyc06g066530.1.1,,,,
101247051,Solyc08g079100.3,Solanum lycopersicum,axial regulator YABBY1b(YABBY1b),,,,,,,,,Solyc07g053640.1,Solyc07g053640.1.1,,,,
101255915,Solyc09g007360.3,Solanum lycopersicum,"interactor of constitutive active ROPs 2, chloroplastic(LOC101255915)",,,,,,,,,Solyc01g080900.3,Solyc01g080900.3.1,,,,
101249231,Solyc11g020100.2,Solanum lycopersicum,putative late blight resistance protein homolog R1B-16(LOC101249231),,,,,,,,,Solyc09g018510.3,Solyc09g018510.3.1,,,,
101252406,Solyc09g065210.3,Solanum lycopersicum,ARM REPEAT PROTEIN INTERACTING WITH ABF2(LOC101252406),,,,,,,,,Solyc09g007480.3,Solyc09g007480.3.1,,,,
101259035,Solyc03g120850.3,Solanum lycopersicum,"ruBisCO large subunit-binding protein subunit beta, chloroplastic(LOC101259035)",,,,,,,,,Solyc09g076040.3,Solyc09g076040.3.1,,,,
101263505,Solyc03g115540.2,Solanum lycopersicum,transcription factor UNE10(LOC101263505),,,,,,,,,Solyc11g012100.2,Solyc11g012100.2.1,,,,
101263984,Solyc03g093360.3,Solanum lycopersicum,PLAT domain-containing protein 3(LOC101263984),,,,,,,,,Solyc03g098170.3,Solyc03g098170.3.1,,,,
101262655,Solyc09g065480.2,Solanum lycopersicum,type I inositol polyphosphate 5-phosphatase 4(LOC101262655),,,,,,,,,Solyc03g111770.3,Solyc03g111770.3.1,,,,
101250694,Solyc05g056140.3,Solanum lycopersicum,E3 ubiquitin-protein ligase WAV3-like(LOC101250694),,,,,,,,,Solyc04g077510.3,Solyc04g077510.3.1,,,,
101248374,Solyc03g111973.1,Solanum lycopersicum,cytochrome P450 71A4-like(LOC101248374),,,,,,,,,Solyc01g106400.3,Solyc01g106400.3.1,,,,
101248374,Solyc03g111990.3,Solanum lycopersicum,cytochrome P450 71A4-like(LOC101248374),,,,,,,,,Solyc01g109700.3,Solyc01g109700.3.1,,,,
101255900,Solyc07g047770.3,Solanum lycopersicum,histidine kinase 2(LOC101255900),,,,,,,,,Solyc12g006000.1,Solyc12g006000.1.1,,,,
101246198,Solyc02g090680.3,Solanum lycopersicum,cyclin-dependent kinase inhibitor 1(krp4),,,,,,,,,Solyc04g049800.3,Solyc04g049800.3.1,,,,
101259028,Solyc03g007860.1,Solanum lycopersicum,uncharacterized protein PAM68-like(LOC101259028),,,,,,,,,Solyc08g059700.2,Solyc08g059700.2.1,,,,
101243917,Solyc08g079240.3,Solanum lycopersicum,uncharacterized LOC101243917(LOC101243917),,,,,,,,,Solyc11g013270.2,Solyc11g013270.2.1,,,,
101250698,Solyc06g005330.3,Solanum lycopersicum,transcription factor MYB48-like(LOC101250698),,,,,,,,,Solyc03g019880.3,Solyc03g019880.3.1,,,,
101252876,Solyc05g012700.3,Solanum lycopersicum,uncharacterized LOC101252876(LOC101252876),,,,,,,,,Solyc03g095500.3,Solyc03g095500.3.1,,,,
101250213,Solyc05g007980.3,Solanum lycopersicum,probable sulfate transporter 3.3(LOC101250213),,,,,,,,,Solyc03g097320.3,Solyc03g097320.3.1,,,,
101261330,Solyc05g013180.3,Solanum lycopersicum,phosphate transporter PHO1-4(PHO1-4),,,,,,,,,Solyc04g017720.3,Solyc04g017720.3.1,,,,
101262669,Solyc10g048030.2,Solanum lycopersicum,kirola(LOC101262669),,,,,,,,,Solyc05g012700.3,Solyc05g012700.3.1,,,,
101260008,Solyc02g068710.3,Solanum lycopersicum,"sulfiredoxin, chloroplastic/mitochondrial(LOC101260008)",,,,,,,,,Solyc04g063240.3,Solyc04g063240.3.1,,,,
101260003,Solyc02g081600.3,Solanum lycopersicum,zinc transporter 3(LOC101260003),,,,,,,,,Solyc06g069880.1,Solyc06g069880.1.1,,,,
104645871,Solyc02g071880.3,Solanum lycopersicum,probable LRR receptor-like serine/threonine-protein kinase RFK1(LOC104645871),,,,,,,,,Solyc07g061990.3,Solyc07g061990.3.1,,,,
101255099,Solyc05g054880.3,Solanum lycopersicum,protein RDM16(LOC101255099),,,,,,,,,Solyc01g020440.3,Solyc01g020440.3.1,,,,
101259456,Solyc07g051820.3,Solanum lycopersicum,cellulose synthase-like protein H1(LOC101259456),,,,,,,,,Solyc01g009050.3,Solyc01g009050.3.1,,,,
543617,Solyc07g062680.2,Solanum lycopersicum,cycloidea(lanceolate),,,,,,,,,Solyc09g014250.3,Solyc09g014250.3.1,,,,
101267080,Solyc02g079870.3,Solanum lycopersicum,uncharacterized LOC101267080(LOC101267080),,,,,,,,,Solyc11g012980.1,Solyc11g012980.1.1,,,,
543619,Solyc07g009380.3,Solanum lycopersicum,xyloglucan endotransglycosylase LeXET2(XET2),,,,,,,,,Solyc04g056580.3,Solyc04g056580.3.1,,,,
101263960,Solyc02g087400.1,Solanum lycopersicum,"signal recognition particle 43 kDa protein, chloroplastic(LOC101263960)",,,,,,,,,Solyc06g073260.3,Solyc06g073260.3.1,,,,
101262630,Solyc07g008900.3,Solanum lycopersicum,subtilisin-like protease SBT2.5(LOC101262630),,,,,,,,,Solyc01g028810.3,Solyc01g028810.3.1,,,,
101259453,Solyc07g007840.2,Solanum lycopersicum,uncharacterized LOC101259453(LOC101259453),,,,,,,,,Solyc01g066880.3,Solyc01g066880.3.1,,,,
101255098,Solyc05g055990.3,Solanum lycopersicum,aquaporin PIP2-4(LOC101255098),,,,,,,,,Solyc12g007210.2,Solyc12g007210.2.1,,,,
101262638,Solyc08g006250.1,Solanum lycopersicum,copper transporter 6(LOC101262638),,,,,,,,,Solyc01g079880.3,Solyc01g079880.3.1,,,,
101264813,Solyc04g016130.3,Solanum lycopersicum,F-box/LRR-repeat protein At5g63520(LOC101264813),,,,,,,,,Solyc12g009240.1,Solyc12g009240.1.1,,,,
101245299,Solyc10g018300.2,Solanum lycopersicum,"transketolase, chloroplastic(LOC101245299)",,,,,,,,,Solyc07g053610.3,Solyc07g053610.3.1,,,,
101263967,Solyc02g078630.2,Solanum lycopersicum,uncharacterized LOC101263967(LOC101263967),,,,,,,,,Solyc10g012410.3,Solyc10g012410.3.1,,,,
101263963,Solyc11g010300.2,Solanum lycopersicum,"bifunctional riboflavin biosynthesis protein RIBA 1, chloroplastic-like(LOC101263963)",,,,,,,,,Solyc10g050110.1,Solyc10g050110.1.1,,,,
101249640,Solyc05g018880.1,Solanum lycopersicum,probable polyamine oxidase 5(LOC101249640),,,,,,,,,Solyc02g080540.1,Solyc02g080540.1.1,,,,
101248793,Solyc07g052610.3,Solanum lycopersicum,cyclin-U1-1(LOC101248793),,,,,,,,,Solyc03g117740.3,Solyc03g117740.3.1,,,,
543604,Solyc09g010840.1,Solanum lycopersicum,phantastica(LOC543604),,,,,,,,,Solyc05g054930.3,Solyc05g054930.3.1,,,,
101262639,Solyc08g028690.3,Solanum lycopersicum,secoisolariciresinol dehydrogenase-like(LOC101262639),,,,,,,,,Solyc08g078760.1,Solyc08g078760.1.1,,,,
101248791,Solyc07g005950.3,Solanum lycopersicum,"pentatricopeptide repeat-containing protein At4g30825, chloroplastic(LOC101248791)",,,,,,,,,Solyc01g008830.2,Solyc01g008830.2.1,,,,
101259446,Solyc06g054070.3,Solanum lycopersicum,non-specific lipid-transfer protein-like protein At2g13820(LOC101259446),,,,,,,,,Solyc01g028830.3,Solyc01g028830.3.1,,,,
101258116,Solyc02g092550.3,Solanum lycopersicum,LOB domain-containing protein 37(LOC101258116),,,,,,,,,Solyc02g071260.3,Solyc02g071260.3.1,,,,
101250635,Solyc01g107590.3,Solanum lycopersicum,probable cinnamyl alcohol dehydrogenase 1(LOC101250635),,,,,,,,,Solyc12g094430.1,Solyc12g094430.1.1,,,,
101255081,Solyc03g111670.3,Solanum lycopersicum,probable inactive receptor kinase At2g26730(LOC101255081),,,,,,,,,Solyc03g114030.3,Solyc03g114030.3.1,,,,
101258594,Solyc01g081320.3,Solanum lycopersicum,pentatricopeptide repeat-containing protein At5g27460(LOC101258594),,,,,,,,,Solyc06g071290.3,Solyc06g071290.3.1,,,,
101251958,Solyc12g055710.1,Solanum lycopersicum,RING-H2 finger protein ATL3-like(LOC101251958),,,,,,,,,Solyc06g065260.3,Solyc06g065260.3.1,,,,
101261316,Solyc04g008230.3,Solanum lycopersicum,polygalacturonase At1g48100(LOC101261316),,,,,,,,,Solyc06g064810.3,Solyc06g064810.3.1,,,,
101246139,Solyc05g056320.3,Solanum lycopersicum,uncharacterized LOC101246139(LOC101246139),,,,,,,,,Solyc02g020940.3,Solyc02g020940.3.1,,,,
101247492,Solyc02g068140.3,Solanum lycopersicum,protein NUCLEAR FUSION DEFECTIVE 4(LOC101247492),,,,,,,,,Solyc11g006230.2,Solyc11g006230.2.1,,,,
101262607,Solyc03g112460.3,Solanum lycopersicum,L-tryptophan--pyruvate aminotransferase 1-like(LOC101262607),,,,,,,,,Solyc01g005550.3,Solyc01g005550.3.1,,,,
101268394,Solyc05g013570.3,Solanum lycopersicum,BTB/POZ domain-containing protein At1g67900(LOC101268394),,,,,,,,,Solyc10g007690.3,Solyc10g007690.3.1,,,,
101257299,Solyc01g080100.3,Solanum lycopersicum,uncharacterized LOC101257299(LOC101257299),,,,,,,,,Solyc02g092720.1,Solyc02g092720.1.1,,,,
101250665,Solyc12g009150.2,Solanum lycopersicum,protein trichome birefringence-like 16(LOC101250665),,,,,,,,,Solyc11g031970.2,Solyc11g031970.2.1,,,,
101260430,Solyc04g080380.3,Solanum lycopersicum,putative S-adenosyl-L-methionine-dependent methyltransferase Mb0746c(LOC101260430),,,,,,,,,Solyc02g065680.3,Solyc02g065680.3.1,,,,
101251509,Solyc01g080880.3,Solanum lycopersicum,serine/threonine-protein kinase BSK2(LOC101251509),,,,,,,,,Solyc03g058910.3,Solyc03g058910.3.1,,,,
101258142,Solyc03g120890.3,Solanum lycopersicum,GATA transcription factor 12(LOC101258142),,,,,,,,,Solyc06g071430.3,Solyc06g071430.3.1,,,,
101247017,Solyc05g010180.3,Solanum lycopersicum,carotenoid isomerase(CRTISO-L1),,,,,,,,,Solyc07g008470.3,Solyc07g008470.3.1,,,,
101247015,Solyc05g005180.3,Solanum lycopersicum,"1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal(LOC101247015)",,,,,,,,,Solyc01g094460.3,Solyc01g094460.3.1,,,,
101260431,Solyc04g082480.3,Solanum lycopersicum,protein NLP4(LOC101260431),,,,,,,,,Solyc11g011010.1,Solyc11g011010.1.1,,,,
101263942,Solyc10g024360.2,Solanum lycopersicum,potassium channel AKT2/3-like(LOC101263942),,,,,,,,,Solyc02g080510.1,Solyc02g080510.1.1,,,,
101263940,Solyc10g005000.3,Solanum lycopersicum,SUN family protein SUN27(LOC101263940),,,,,,,,,Solyc04g071930.3,Solyc04g071930.3.1,,,,
101247480,Solyc02g055565.1,Solanum lycopersicum,high mobility group B protein 14(LOC101247480),,,,,,,,,Solyc06g048950.3,Solyc06g048950.3.1,,,,
101247483,Solyc02g090580.3,Solanum lycopersicum,uncharacterized LOC101247483(LOC101247483),,,,,,,,,Solyc01g028870.3,Solyc01g028870.3.1,,,,
101252837,Solyc11g013270.2,Solanum lycopersicum,O-fucosyltransferase 10-like(LOC101252837),,,,,,,,,Solyc09g005270.3,Solyc09g005270.3.1,,,,
101259466,Solyc08g066850.3,Solanum lycopersicum,lactoylglutathione lyase GLX1(LOC101259466),,,,,,,,,Solyc10g008790.3,Solyc10g008790.3.1,,,,
101247488,Solyc11g019910.1,Solanum lycopersicum,pectinesterase inhibitor 4(LOC101247488),,,,,,,,,Solyc04g074130.3,Solyc04g074130.3.1,,,,
101264803,Solyc12g088880.2,Solanum lycopersicum,putative dihydroflavonol 4-reductase(LOC101264803),,,,,,,,,Solyc05g050110.3,Solyc05g050110.3.1,,,,
101247487,Solyc11g012940.2,Solanum lycopersicum,uncharacterized LOC101247487(LOC101247487),,,,,,,,,Solyc02g021000.3,Solyc02g021000.3.1,,,,
101267284,Solyc11g042630.2,Solanum lycopersicum,uncharacterized LOC101267284(LOC101267284),,,,,,,,,Solyc12g014020.2,Solyc12g014020.2.1,,,,
101247670,Solyc01g111840.3,Solanum lycopersicum,hippocampus abundant transcript-like protein 1(LOC101247670),,,,,,,,,Solyc03g114020.3,Solyc03g114020.3.1,,,,
101250843,Solyc01g108610.3,Solanum lycopersicum,cyclin-dependent kinase inhibitor 7(LOC101250843),,,,,,,,,Solyc03g111700.3,Solyc03g111700.3.1,,,,
101250842,Solyc01g104010.2,Solanum lycopersicum,uncharacterized LOC101250842(LOC101250842),,,,,,,,,Solyc06g060640.1,Solyc06g060640.1.1,,,,
101257470,Solyc05g054740.3,Solanum lycopersicum,probable sulfate transporter 4.2-like(ST4.1),,,,,,,,,Solyc10g007670.3,Solyc10g007670.3.1,,,,
101255291,Solyc04g063390.2,Solanum lycopersicum,chaperone protein dnaJ 10(LOC101255291),,,,,,,,,Solyc11g011020.2,Solyc11g011020.2.1,,,,
101258321,Solyc07g032640.2,Solanum lycopersicum,"oxygen-evolving enhancer protein 1, chloroplastic(OEE1)",,,,,,,,,Solyc02g080500.3,Solyc02g080500.3.1,,,,
101055600,Solyc09g010690.3,Solanum lycopersicum,Hop-interacting protein THI015(LOC101055600),,,,,,,,,Solyc03g097550.3,Solyc03g097550.3.1,,,,
101255295,Solyc05g009370.3,Solanum lycopersicum,"50S ribosomal protein L15, chloroplastic(LOC101255295)",,,,,,,,,Solyc12g042470.2,Solyc12g042470.2.1,,,,
101267287,Solyc03g006870.3,Solanum lycopersicum,"phosphoglucomutase, chloroplastic(LOC101267287)",,,,,,,,,Solyc03g119540.3,Solyc03g119540.3.1,,,,
101267288,Solyc12g008790.2,Solanum lycopersicum,"probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial(LOC101267288)",,,,,,,,,Solyc05g012790.3,Solyc05g012790.3.1,,,,
101248526,Solyc10g050735.1,Solanum lycopersicum,sodium channel modifier 1(LOC101248526),,,,,,,,,Solyc06g062760.3,Solyc06g062760.3.1,,,,
101268137,Solyc09g064240.3,Solanum lycopersicum,sulfofructose kinase(LOC101268137),,,,,,,,,Solyc08g008080.1,Solyc08g008080.1.1,,,,
101249852,Solyc09g059470.3,Solanum lycopersicum,uncharacterized LOC101249852(LOC101249852),,,,,,,,,Solyc02g091560.3,Solyc02g091560.3.1,,,,
101262831,Solyc07g040950.3,Solanum lycopersicum,uncharacterized LOC101262831(LOC101262831),,,,,,,,,Solyc07g056020.3,Solyc07g056020.3.1,,,,
101245017,Solyc11g012870.2,Solanum lycopersicum,lysM domain-containing GPI-anchored protein 1(LOC101245017),,,,,,,,,Solyc07g054770.1,Solyc07g054770.1.1,,,,
101247678,Solyc02g085780.3,Solanum lycopersicum,ultraviolet-B receptor UVR8(LOC101247678),,,,,,,,,Solyc01g005520.3,Solyc01g005520.3.1,,,,
101249840,Solyc08g014030.1,Solanum lycopersicum,protein SHORT-ROOT(LOC101249840),,,,,,,,,Solyc09g007410.3,Solyc09g007410.3.1,,,,
101248993,Solyc08g005580.3,Solanum lycopersicum,ABC transporter G family member 21(ABCG21),,,,,,,,,Solyc09g082580.3,Solyc09g082580.3.1,,,,
101267294,Solyc12g049510.2,Solanum lycopersicum,COP1-interacting protein 7-like(LOC101267294),,,,,,,,,Solyc02g092700.3,Solyc02g092700.3.1,,,,
101267295,Solyc03g093550.1,Solanum lycopersicum,ethylene response factor B.5(ERF-B5),,,,,,,,,Solyc07g041735.1,Solyc07g041735.1.1,,,,
101247660,Solyc01g091040.3,Solanum lycopersicum,cysteine-rich repeat secretory protein 15(LOC101247660),,,,,,,,,Solyc09g091430.3,Solyc09g091430.3.1,,,,
101257467,Solyc05g005810.3,Solanum lycopersicum,protein RICE SALT SENSITIVE 3(LOC101257467),,,,,,,,,Solyc10g084430.2,Solyc10g084430.2.1,,,,
101257469,Solyc05g014370.3,Solanum lycopersicum,mitotic spindle checkpoint protein MAD2(LOC101257469),,,,,,,,,Solyc03g031700.3,Solyc03g031700.3.1,,,,
101259646,Solyc06g082980.3,Solanum lycopersicum,"probable 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase(HYD1)",,,,,,,,,Solyc07g066620.3,Solyc07g066620.3.1,,,,
101255283,Solyc03g115070.1,Solanum lycopersicum,exocyst complex component EXO70E2(LOC101255283),,,,,,,,,Solyc07g061900.3,Solyc07g061900.3.1,,,,
101257460,Solyc04g005120.3,Solanum lycopersicum,protein SHORT HYPOCOTYL IN WHITE LIGHT 1(LOC101257460),,,,,,,,,Solyc09g059990.1,Solyc09g059990.1.1,,,,
101250825,Solyc08g066610.3,Solanum lycopersicum,uncharacterized LOC101250825(LOC101250825),,,,,,,,,Solyc09g075960.1,Solyc09g075960.1.1,,,,
101255285,Solyc03g112760.3,Solanum lycopersicum,uncharacterized LOC101255285(LOC101255285),,,,,,,,,Solyc12g036170.2,Solyc12g036170.2.1,,,,
101258792,Solyc10g005840.3,Solanum lycopersicum,farnesyl pyrophosphate synthase(FPPS4),,,,,,,,,Solyc03g007480.3,Solyc03g007480.3.1,,,,
101256131,Solyc01g105050.3,Solanum lycopersicum,"chlorophyll a-b binding protein CP24 10B, chloroplastic-like(LHCP)",,,,,,,,,Solyc12g056830.1,Solyc12g056830.1.1,,,,
101260667,Solyc09g011210.3,Solanum lycopersicum,"organelle RRM domain-containing protein 6, chloroplastic(LOC101260667)",,,,,,,,,Solyc03g119960.3,Solyc03g119960.3.1,,,,
101246333,Solyc03g113190.1,Solanum lycopersicum,protein QUIRKY(LOC101246333),,,,,,,,,Solyc05g050020.3,Solyc05g050020.3.1,,,,
101262847,Solyc01g059870.3,Solanum lycopersicum,phytochrome B1(PHYB1),,,,,,,,,Solyc07g041720.1,Solyc07g041720.1.1,,,,
101249848,Solyc09g010530.3,Solanum lycopersicum,cation/H(+) antiporter 20(LOC101249848),,,,,,,,,Solyc02g067890.3,Solyc02g067890.3.1,,,,
101248511,Solyc01g006450.3,Solanum lycopersicum,"enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic-like(LOC101248511)",,,,,,,,,Solyc11g069290.2,Solyc11g069290.2.1,,,,
101248997,Solyc08g082710.3,Solanum lycopersicum,protein ABIL2-like(LOC101248997),,,,,,,,,Solyc05g012820.1,Solyc05g012820.1.1,,,,
101248542,Solyc02g069290.3,Solanum lycopersicum,putative E3 ubiquitin-protein ligase LIN(LOC101248542),,,,,,,,,Solyc05g052710.3,Solyc05g052710.3.1,,,,
101261957,Solyc09g074420.3,Solanum lycopersicum,"protease Do-like 2, chloroplastic(LOC101261957)",,,,,,,,,Solyc08g008120.3,Solyc08g008120.3.1,,,,
101265086,Solyc11g005450.2,Solanum lycopersicum,probable mediator of RNA polymerase II transcription subunit 26c(LOC101265086),,,,,,,,,Solyc08g068100.3,Solyc08g068100.3.1,,,,
101251715,Solyc09g008650.3,Solanum lycopersicum,"peptidyl-prolyl cis-trans isomerase FKBP16-4, chloroplastic(FKBP16-4)",,,,,,,,,Solyc01g094790.3,Solyc01g094790.3.1,,,,
101250862,Solyc11g067010.2,Solanum lycopersicum,protein BUD31 homolog-like(LOC101250862),,,,,,,,,Solyc11g032200.2,Solyc11g032200.2.1,,,,
101257494,Solyc08g079750.3,Solanum lycopersicum,probable aminotransferase ACS10(LOC101257494),,,,,,,,,Solyc03g111670.3,Solyc03g111670.3.1,,,,
104649495,Solyc10g005470.3,Solanum lycopersicum,uncharacterized LOC104649495(LOC104649495),,,,,,,,,Solyc05g055990.3,Solyc05g055990.3.1,,,,
101268114,Solyc06g069120.3,Solanum lycopersicum,uncharacterized LOC101268114(LOC101268114),,,,,,,,,Solyc05g054880.3,Solyc05g054880.3.1,,,,
101249876,Solyc11g007340.2,Solanum lycopersicum,uncharacterized LOC101249876(LOC101249876),,,,,,,,,Solyc05g051580.3,Solyc05g051580.3.1,,,,
101260631,Solyc04g011500.3,Solanum lycopersicum,actin(actin),,,,,,,,,Solyc06g074190.3,Solyc06g074190.3.1,,,,
101247217,Solyc05g006550.3,Solanum lycopersicum,TORTIFOLIA1-like protein 4(LOC101247217),,,,,,,,,Solyc08g082400.1,Solyc08g082400.1.1,,,,
101265097,Solyc02g083670.3,Solanum lycopersicum,histidine kinase 1(LOC101265097),,,,,,,,,Solyc09g018230.1,Solyc09g018230.1.1,,,,
101259666,Solyc01g058160.3,Solanum lycopersicum,DUF724 domain-containing protein 6-like(LOC101259666),,,,,,,,,Solyc09g010680.3,Solyc09g010680.3.1,,,,
101250855,Solyc11g013130.2,Solanum lycopersicum,proline-rich antigen homolog(LOC101250855),,,,,,,,,Solyc09g082630.3,Solyc09g082630.3.1,,,,
101265092,Solyc02g078590.1,Solanum lycopersicum,uncharacterized protein At4g19900(LOC101265092),,,,,,,,,Solyc10g049870.1,Solyc10g049870.1.1,,,,
101258337,Solyc12g017510.2,Solanum lycopersicum,"RAP domain-containing protein, chloroplastic(LOC101258337)",,,,,,,,,Solyc03g083400.3,Solyc03g083400.3.1,,,,
101250851,Solyc11g006040.2,Solanum lycopersicum,receptor protein kinase TMK1(LOC101250851),,,,,,,,,Solyc07g052290.1,Solyc07g052290.1.1,,,,
101257008,Solyc09g074610.3,Solanum lycopersicum,"NAD(P)H-quinone oxidoreductase subunit T, chloroplastic(LOC101257008)",,,,,,,,,Solyc08g077480.3,Solyc08g077480.3.1,,,,
101247687,Solyc02g070490.3,Solanum lycopersicum,"pheophytinase, chloroplastic(LOC101247687)",,,,,,,,,Solyc09g092670.3,Solyc09g092670.3.1,,,,
101246355,Solyc06g084550.3,Solanum lycopersicum,"outer envelope pore protein 16-4, chloroplastic(LOC101246355)",,,,,,,,,Solyc01g102980.3,Solyc01g102980.3.1,,,,
104649482,Solyc10g006870.1,Solanum lycopersicum,receptor-like protein kinase THESEUS 1(LOC104649482),,,,,,,,,Solyc11g051160.2,Solyc11g051160.2.1,,,,
