From,To,Species,Gene Name,Gene stable ID,Transcript stable ID,,,Elements only in List 1 :
101264432,Solyc06g050630.3,Solanum lycopersicum,"arogenate dehydrogenase 1, chloroplastic(LOC101264432)",Solyc09g010780.3,Solyc09g010780.3.1,,,
101260078,Solyc01g056720.3,Solanum lycopersicum,probable aquaporin SIP2-1(SIP2-1),Solyc01g103940.3,Solyc01g103940.3.1,,,
101260079,Solyc09g065390.1,Solanum lycopersicum,protein MARD1(LOC101260079),Solyc01g094660.3,Solyc01g094660.3.1,,,
101250299,Solyc04g082070.3,Solanum lycopersicum,tRNA pseudouridine synthase A(LOC101250299),Solyc03g097470.3,Solyc03g097470.3.1,,,
101256837,Solyc02g065540.2,Solanum lycopersicum,E3 ubiquitin-protein ligase RNF185(LOC101256837),Solyc03g115920.3,Solyc03g115920.3.1,,,
101252475,Solyc04g005420.3,Solanum lycopersicum,PLASMODESMATA CALLOSE-BINDING PROTEIN 3(LOC101252475),Solyc02g069260.3,Solyc02g069260.3.1,,,
104648957,Solyc08g079140.1,Solanum lycopersicum,auxin-induced protein X10A-like(LOC104648957),Solyc03g034030.3,Solyc03g034030.3.1,,,
101250295,Solyc04g009850.3,Solanum lycopersicum,1-aminocyclopropane-1-carboxylate oxidase homolog 1-like(LOC101250295),Solyc03g081320.3,Solyc03g081320.3.1,,,
101255509,Solyc07g053550.2,Solanum lycopersicum,glutaredoxin-C9(LOC101255509),Solyc03g121270.3,Solyc03g121270.3.1,,,
101255501,Solyc06g066370.3,Solanum lycopersicum,WRKY transcription factor 31(WRKY31),Solyc06g009770.1,Solyc06g009770.1.1,,,
101266622,Solyc03g119370.2,Solanum lycopersicum,transcription factor MYB62-like(LOC101266622),Solyc09g075020.3,Solyc09g075020.3.1,,,
101265774,Solyc01g097570.2,Solanum lycopersicum,dachshund homolog 1(LOC101265774),Solyc09g089940.1,Solyc09g089940.1.1,,,
101264442,Solyc07g017860.3,Solanum lycopersicum,"acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal-like(LOC101264442)",Solyc01g096800.3,Solyc01g096800.3.1,,,
101265773,Solyc01g096420.3,Solanum lycopersicum,NAD(P)H:quinone oxidoreductase(LOC101265773),Solyc02g093840.3,Solyc02g093840.3.1,,,
101260084,Solyc01g105660.3,Solanum lycopersicum,protein DMR6-LIKE OXYGENASE 2-like(LOC101260084),Solyc11g072480.2,Solyc11g072480.2.1,,,
101263592,Solyc12g099440.2,Solanum lycopersicum,glyoxysomal fatty acid beta-oxidation multifunctional protein MFP-a(LOC101263592),Solyc04g012040.3,Solyc04g012040.3.1,,,
101262269,Solyc10g081440.2,Solanum lycopersicum,NADH--cytochrome b5 reductase 1(LOC101262269),Solyc05g005670.1,Solyc05g005670.1.1,,,
101267951,Solyc02g092120.3,Solanum lycopersicum,phytosulfokines 2(PSK2),Solyc06g063030.3,Solyc06g063030.3.1,,,
101253759,Solyc03g095650.3,Solanum lycopersicum,MLO-like protein 2(LOC101253759),Solyc08g006730.1,Solyc08g006730.1.1,,,
101254600,Solyc06g066420.3,Solanum lycopersicum,uncharacterized LOC101254600(LOC101254600),Solyc02g069250.3,Solyc02g069250.3.1,,,
100136886,Solyc02g070580.1,Solanum lycopersicum,cytochrome P450 710A11(CYP710A11),Solyc03g081310.3,Solyc03g081310.3.1,,,
101264412,Solyc03g118390.3,Solanum lycopersicum,coiled-coil domain-containing protein SCD2(LOC101264412),Solyc09g005570.3,Solyc09g005570.3.1,,,
101261381,Solyc02g088790.3,Solanum lycopersicum,"glycine-rich RNA-binding protein 3, mitochondrial(LOC101261381)",Solyc01g095460.3,Solyc01g095460.3.1,,,
101261383,Solyc11g010170.2,Solanum lycopersicum,lanC-like protein GCL1(LOC101261383),Solyc10g080970.2,Solyc10g080970.2.1,,,
101255929,Solyc10g008730.3,Solanum lycopersicum,signalling peptide TAXIMIN1-like protein(LOC101255929),Solyc12g096690.2,Solyc12g096690.2.1,,,
101265748,Solyc07g040710.3,Solanum lycopersicum,IQ domain-containing protein IQM4-like(LOC101265748),Solyc05g010340.3,Solyc05g010340.3.1,,,
101260057,Solyc06g076780.3,Solanum lycopersicum,beta-glucosidase BoGH3B(LOC101260057),Solyc05g056200.1,Solyc05g056200.1.1,,,
101267920,Solyc01g011430.3,Solanum lycopersicum,O-acyltransferase WSD1-like(LOC101267920),Solyc07g008280.3,Solyc07g008280.3.1,,,
101253745,Solyc02g072120.3,Solanum lycopersicum,ER lumen protein-retaining receptor A(LOC101253745),Solyc09g092430.3,Solyc09g092430.3.1,,,
543689,Solyc07g064610.3,Solanum lycopersicum,calcium-dependent protein kinase CDPK1(CDPK1),Solyc04g071710.3,Solyc04g071710.3.1,,,
101248391,Solyc05g018760.2,Solanum lycopersicum,probable E3 ubiquitin-protein ligase XERICO(LOC101248391),Solyc07g062130.3,Solyc07g062130.3.1,,,
101258195,Solyc01g100940.2,Solanum lycopersicum,uncharacterized LOC101258195(LOC101258195),Solyc11g013110.2,Solyc11g013110.2.1,,,
101264422,Solyc05g014980.3,Solanum lycopersicum,adenylate kinase 4(LOC101264422),Solyc11g069050.2,Solyc11g069050.2.1,,,
101267939,Solyc10g009270.3,Solanum lycopersicum,transcription factor MYC2-like(LOC101267939),Solyc09g064780.3,Solyc09g064780.3.1,,,
101264428,Solyc06g006000.3,Solanum lycopersicum,uncharacterized LOC101264428(LOC101264428),Solyc01g107550.3,Solyc01g107550.3.1,,,
543695,Solyc01g100510.3,Solanum lycopersicum,knotted homeodomain protein 4(KN4),Solyc02g092910.3,Solyc02g092910.3.1,,,
101258191,Solyc01g091600.3,Solanum lycopersicum,E3 ubiquitin-protein ligase At1g12760(LOC101258191),Solyc11g065740.2,Solyc11g065740.2.1,,,
101260068,Solyc08g007160.3,Solanum lycopersicum,calcineurin B-like protein 1(LOC101260068),Solyc12g056990.1,Solyc12g056990.1.1,,,
101249249,Solyc03g083615.1,Solanum lycopersicum,21 kDa protein(LOC101249249),Solyc03g114160.1,Solyc03g114160.1.1,,,
101266602,Solyc03g007995.1,Solanum lycopersicum,uncharacterized LOC101266602(LOC101266602),Solyc03g111870.3,Solyc03g111870.3.1,,,
101264425,Solyc05g052280.3,Solanum lycopersicum,peroxidase P7(LOC101264425),Solyc04g078680.3,Solyc04g078680.3.1,,,
101247097,Solyc11g065660.2,Solanum lycopersicum,calcium-dependent protein kinase 7(LOC101247097),Solyc05g056170.3,Solyc05g056170.3.1,,,
101247094,Solyc02g069370.3,Solanum lycopersicum,ras-related protein RABF2a(LOC101247094),Solyc05g055040.3,Solyc05g055040.3.1,,,
543677,Solyc11g066440.2,Solanum lycopersicum,lethal leaf spot 1-like protein(LOC543677),Solyc10g078760.2,Solyc10g078760.2.1,,,
101249270,Solyc06g005250.3,Solanum lycopersicum,uncharacterized LOC101249270(LOC101249270),Solyc02g072000.3,Solyc02g072000.3.1,,,
101253771,Solyc04g015200.3,Solanum lycopersicum,ATP-dependent 6-phosphofructokinase 2(LOC101253771),Solyc04g072930.1,Solyc04g072930.1.1,,,
101251117,Solyc01g007955.1,Solanum lycopersicum,lipase-like(LOC101251117),Solyc07g053720.3,Solyc07g053720.3.1,,,
101250268,Solyc11g013100.2,Solanum lycopersicum,selenoprotein K(LOC101250268),Solyc10g081980.2,Solyc10g081980.2.1,,,
101253775,Solyc04g063280.3,Solanum lycopersicum,TOM1-like protein 3(LOC101253775),Solyc03g095310.3,Solyc03g095310.3.1,,,
101263542,Solyc01g079260.3,Solanum lycopersicum,WRKY transcription factor 23(LOC101263542),Solyc03g121240.1,Solyc03g121240.1.1,,,
101267903,Solyc06g061150.3,Solanum lycopersicum,AP-2 complex subunit mu(LOC101267903),Solyc03g116750.3,Solyc03g116750.3.1,,,
101244826,Solyc11g008420.2,Solanum lycopersicum,SKP1-like protein 11(LOC101244826),Solyc05g052790.3,Solyc05g052790.3.1,,,
101259078,Solyc01g091650.3,Solanum lycopersicum,COP9 signalosome complex subunit 1(LOC101259078),Solyc06g066600.3,Solyc06g066600.3.1,,,
101244827,Solyc02g083400.3,Solanum lycopersicum,NEP1-interacting protein-like 1(LOC101244827),Solyc08g076160.3,Solyc08g076160.3.1,,,
101243970,Solyc03g096780.1,Solanum lycopersicum,protein RESPONSE TO LOW SULFUR 3-like(LOC101243970),Solyc03g007260.3,Solyc03g007260.3.1,,,
101265726,Solyc04g064880.3,Solanum lycopersicum,pathogen-related protein(LOC101265726),Solyc06g074390.3,Solyc06g074390.3.1,,,
101262214,Solyc05g013207.1,Solanum lycopersicum,3-ketoacyl-CoA synthase 20(LOC101262214),Solyc08g077790.3,Solyc08g077790.3.1,,,
101262213,Solyc05g008450.3,Solanum lycopersicum,fruit protein pKIWI502(LOC101262213),Solyc01g104775.1,Solyc01g104775.1.1,,,
101261366,Solyc01g098810.3,Solanum lycopersicum,alpha-crystallin domain-containing protein 22.3(LOC101261366),Solyc10g078780.2,Solyc10g078780.2.1,,,
101264876,Solyc10g083700.3,Solanum lycopersicum,cytochrome P450 76A2(LOC101264876),Solyc12g005910.2,Solyc12g005910.2.1,,,
101249265,Solyc05g010320.3,Solanum lycopersicum,chalcone--flavonone isomerase 1(CHI1),Solyc12g010430.1,Solyc12g010430.1.1,,,
101247084,Solyc02g085810.3,Solanum lycopersicum,protein SWEETIE(LOC101247084),Solyc05g052930.3,Solyc05g052930.3.1,,,
101255948,Solyc02g080420.3,Solanum lycopersicum,polyadenylate-binding protein RBP45(LOC101255948),Solyc10g055200.1,Solyc10g055200.1.1,,,
101250259,Solyc10g055200.1,Solanum lycopersicum,dirigent protein 22(LOC101250259),Solyc03g081240.3,Solyc03g081240.3.1,,,
101262222,Solyc06g060290.3,Solanum lycopersicum,protein disulfide-isomerase(LOC101262222),Solyc03g116740.3,Solyc03g116740.3.1,,,
101259068,Solyc09g011880.3,Solanum lycopersicum,protein SSUH2 homolog(LOC101259068),Solyc05g054080.3,Solyc05g054080.3.1,,,
101264880,Solyc02g088630.3,Solanum lycopersicum,probable galacturonosyltransferase 14(LOC101264880),Solyc02g062250.3,Solyc02g062250.3.1,,,
101267918,Solyc08g080510.3,Solanum lycopersicum,replication factor C subunit 2(LOC101267918),Solyc08g077780.3,Solyc08g077780.3.1,,,
101262229,Solyc07g066270.3,Solanum lycopersicum,"probable 6-phosphogluconolactonase 4, chloroplastic(LOC101262229)",Solyc12g005920.2,Solyc12g005920.2.1,,,
101264888,Solyc02g068430.3,Solanum lycopersicum,choline-phosphate cytidylyltransferase 1(LOC101264888),Solyc03g116530.3,Solyc03g116530.3.1,,,
101244810,Solyc09g089780.3,Solanum lycopersicum,deacetoxyvindoline 4-hydroxylase(LOC101244810),Solyc05g050360.3,Solyc05g050360.3.1,,,
101264405,Solyc12g014430.2,Solanum lycopersicum,cellulose synthase-like protein G3(LOC101264405),Solyc07g006370.1,Solyc07g006370.1.1,,,
101249211,Solyc01g096800.3,Solanum lycopersicum,peter Pan-like protein(LOC101249211),Solyc08g081370.1,Solyc08g081370.1.1,,,
104645830,Solyc02g077970.3,Solanum lycopersicum,late embryogenesis abundant protein At3g53040-like(LOC104645830),Solyc01g104000.3,Solyc01g104000.3.1,,,
101243909,Solyc07g062480.1,Solanum lycopersicum,epidermis-specific secreted glycoprotein EP1-like(LOC101243909),Solyc01g108600.3,Solyc01g108600.3.1,,,
101250686,Solyc04g073950.1,Solanum lycopersicum,probable serine/threonine-protein kinase DDB_G0282963(LOC101250686),Solyc02g092860.3,Solyc02g092860.3.1,,,
101252863,Solyc03g116660.3,Solanum lycopersicum,uncharacterized LOC101252863(LOC101252863),Solyc02g090980.1,Solyc02g090980.1.1,,,
100736472,Solyc11g072600.2,Solanum lycopersicum,APETALA2-like protein AP2d(AP2d),Solyc03g083590.3,Solyc03g083590.3.1,,,
101261345,Solyc08g007930.2,Solanum lycopersicum,SUN family protein SUN20(LOC101261345),Solyc12g098900.2,Solyc12g098900.2.1,,,
101249699,Solyc11g013110.2,Solanum lycopersicum,flavonol synthase/flavanone 3-hydroxylase(LOC101249699),Solyc10g045550.2,Solyc10g045550.2.1,,,
101261346,Solyc08g015870.3,Solanum lycopersicum,MLO family protein 2(MLO2),Solyc11g072500.2,Solyc11g072500.2.1,,,
101260016,Solyc12g008500.2,Solanum lycopersicum,receptor-like protein kinase 5(LOC101260016),Solyc04g073950.1,Solyc04g073950.1.1,,,
101249201,Solyc09g005560.3,Solanum lycopersicum,trihelix transcription factor GT-3b(LOC101249201),Solyc05g043330.3,Solyc05g043330.3.1,,,
101248354,Solyc02g068100.3,Solanum lycopersicum,SWI/SNF complex component SNF12 homolog(LOC101248354),Solyc01g095490.3,Solyc01g095490.3.1,,,
101246177,Solyc01g073660.3,Solanum lycopersicum,major facilitator superfamily domain-containing protein 12(LOC101246177),Solyc02g091700.3,Solyc02g091700.3.1,,,
101247024,Solyc05g051900.3,Solanum lycopersicum,uncharacterized LOC101247024(LOC101247024),Solyc02g079280.3,Solyc02g079280.3.1,,,
101249680,Solyc09g092420.2,Solanum lycopersicum,probable polyamine transporter At1g31830(LOC101249680),Solyc12g094550.2,Solyc12g094550.2.1,,,
101259009,Solyc10g084600.2,Solanum lycopersicum,MATH and LRR domain-containing protein PFE0570w(LOC101259009),Solyc06g007580.1,Solyc06g007580.1.1,,,
101264862,Solyc01g097520.3,Solanum lycopersicum,annexin D4(LOC101264862),Solyc06g053700.1,Solyc06g053700.1.1,,,
101262682,Solyc02g067530.3,Solanum lycopersicum,probable prolyl 4-hydroxylase 6(LOC101262682),Solyc12g088040.2,Solyc12g088040.2.1,,,
100736469,Solyc08g078820.3,Solanum lycopersicum,autophagy 8f(LOC100736469),Solyc03g112970.1,Solyc03g112970.1.1,,,
101262200,Solyc03g111310.3,Solanum lycopersicum,SNF1-related protein kinase regulatory subunit gamma-1(LOC101262200),Solyc06g084330.3,Solyc06g084330.3.1,,,
101264861,Solyc01g091840.3,Solanum lycopersicum,UDP-galactose/UDP-glucose transporter 4(LOC101264861),Solyc01g057460.3,Solyc01g057460.3.1,,,
101259481,Solyc01g080160.3,Solanum lycopersicum,DUF21 domain-containing protein At4g14240(LOC101259481),Solyc09g064820.1,Solyc09g064820.1.1,,,
101259002,Solyc01g109710.3,Solanum lycopersicum,protein response to dessication 2(RD2),Solyc09g091180.3,Solyc09g091180.3.1,,,
101259487,Solyc01g109920.2,Solanum lycopersicum,embryogenic cell protein 40(LOC101259487),Solyc02g086810.1,Solyc02g086810.1.1,,,
100736464,Solyc04g054710.3,Solanum lycopersicum,prephenate aminotransferase(PAT),Solyc12g009160.2,Solyc12g009160.2.1,,,
101243903,Solyc07g053980.3,Solanum lycopersicum,callose synthase 12(LOC101243903),Solyc05g006780.3,Solyc05g006780.3.1,,,
101249208,Solyc09g075020.3,Solanum lycopersicum,ABC transporter C family member 9(ABCC9),Solyc10g017570.3,Solyc10g017570.3.1,,,
101262209,Solyc04g078050.3,Solanum lycopersicum,transcription initiation factor TFIID subunit 4b(LOC101262209),Solyc11g010850.2,Solyc11g010850.2.1,,,
101249209,Solyc09g089940.1,Solanum lycopersicum,uncharacterized LOC101249209(LOC101249209),Solyc04g071770.3,Solyc04g071770.3.1,,,
101249204,Solyc01g067560.3,Solanum lycopersicum,protein ALWAYS EARLY 3(LOC101249204),Solyc10g054930.2,Solyc10g054930.2.1,,,
101264864,Solyc01g104920.3,Solanum lycopersicum,vesicle-fusing ATPase(LOC101264864),Solyc03g019820.3,Solyc03g019820.3.1,,,
101263533,Solyc07g062700.3,Solanum lycopersicum,sodium/calcium exchanger NCL(LOC101263533),Solyc06g084320.1,Solyc06g084320.1.1,,,
101255910,Solyc08g075230.1,Solanum lycopersicum,NDR1/HIN1-like protein 12(LOC101255910),Solyc08g075870.3,Solyc08g075870.3.1,,,
101252882,Solyc05g053940.3,Solanum lycopersicum,ras-related protein RABD2a(LOC101252882),Solyc09g074910.1,Solyc09g074910.1.1,,,
101251550,Solyc12g009180.2,Solanum lycopersicum,uncharacterized LOC101251550(LOC101251550),Solyc04g082040.3,Solyc04g082040.3.1,,,
101253738,Solyc10g079320.2,Solanum lycopersicum,zeatin O-glucosyltransferase-like(LOC101253738),Solyc08g067770.3,Solyc08g067770.3.1,,,
101243932,Solyc09g089650.1,Solanum lycopersicum,"uncharacterized protein At4g14450, chloroplastic(LOC101243932)",Solyc09g059520.3,Solyc09g059520.3.1,,,
100736498,Solyc09g009130.3,Solanum lycopersicum,putative phytosulfokine peptide(PSK1),Solyc02g085630.3,Solyc02g085630.3.1,,,
101259033,Solyc12g088940.2,Solanum lycopersicum,mitogen-activated protein kinase kinase kinase 5-like(LOC101259033),Solyc06g065370.3,Solyc06g065370.3.1,,,
101259034,Solyc03g121970.1,Solanum lycopersicum,protein BIG GRAIN 1-like B(LOC101259034),Solyc07g005970.3,Solyc07g005970.3.1,,,
101264838,Solyc07g054220.1,Solanum lycopersicum,ethylene-responsive transcription factor ERF054(LOC101264838),Solyc07g014670.3,Solyc07g014670.3.1,,,
101263507,Solyc04g011400.3,Solanum lycopersicum,UDP-glucuronic acid decarboxylase 6(LOC101263507),Solyc11g013170.2,Solyc11g013170.2.1,,,
101264836,Solyc07g008820.3,Solanum lycopersicum,protein trichome birefringence-like 14(LOC101264836),Solyc03g095450.3,Solyc03g095450.3.1,,,
101243930,Solyc01g088480.3,Solanum lycopersicum,UMP-CMP kinase 3(LOC101243930),Solyc03g123370.3,Solyc03g123370.3.1,,,
101249238,Solyc11g070070.2,Solanum lycopersicum,zinc finger CCCH domain-containing protein 39-like(LOC101249238),Solyc01g010700.3,Solyc01g010700.3.1,,,
101251542,Solyc02g062140.2,Solanum lycopersicum,uncharacterized LOC101251542(LOC101251542),Solyc09g007520.3,Solyc09g007520.3.1,,,
101249223,Solyc02g093840.3,Solanum lycopersicum,F-box protein SKIP14(LOC101249223),Solyc11g072530.2,Solyc11g072530.2.1,,,
101250218,Solyc05g052930.3,Solanum lycopersicum,protein YIPF1 homolog(LOC101250218),Solyc12g009180.2,Solyc12g009180.2.1,,,
101250219,Solyc05g050380.3,Solanum lycopersicum,cyclic nucleotide-gated ion channel 1(LOC101250219),Solyc07g064440.3,Solyc07g064440.3.1,,,
101251546,Solyc11g072530.2,Solanum lycopersicum,V-type proton ATPase subunit a1(LOC101251546),Solyc02g079230.3,Solyc02g079230.3.1,,,
101250696,Solyc05g043330.3,Solanum lycopersicum,GDSL esterase/lipase At2g04570(LOC101250696),Solyc04g009810.3,Solyc04g009810.3.1,,,
101262661,Solyc01g096320.3,Solanum lycopersicum,homeobox-leucine zipper protein ATHB-12(LOC101262661),Solyc07g005990.3,Solyc07g005990.3.1,,,
101264840,Solyc07g040740.3,Solanum lycopersicum,diacylglycerol O-acyltransferase 1A(LOC101264840),Solyc10g074500.2,Solyc10g074500.2.1,,,
101262660,Solyc01g095200.3,Solanum lycopersicum,reticulon-like protein B1(LOC101262660),Solyc04g011840.1,Solyc04g011840.1.1,,,
101264841,Solyc07g054080.2,Solanum lycopersicum,E3 ubiquitin-protein ligase RMA1H1(LOC101264841),Solyc01g010660.3,Solyc01g010660.3.1,,,
100736486,Solyc01g098410.3,Solanum lycopersicum,LysM receptor-like kinase 13(Lyk13),Solyc01g095970.3,Solyc01g095970.3.1,,,
101262668,Solyc01g108030.3,Solanum lycopersicum,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial(LOC101262668)",Solyc10g078730.2,Solyc10g078730.2.1,,,
100736482,Solyc02g083860.3,Solanum lycopersicum,flavanone 3-dioxygenase(F3H),Solyc07g043590.3,Solyc07g043590.3.1,,,
101261339,Solyc07g007670.3,Solanum lycopersicum,bifunctional purple acid phosphatase 26(LOC101261339),Solyc08g078850.3,Solyc08g078850.3.1,,,
101247047,Solyc08g062220.3,Solanum lycopersicum,UDP-glycosyltransferase 74F2(LOC101247047),Solyc01g066940.3,Solyc01g066940.3.1,,,
101258170,Solyc07g065500.2,Solanum lycopersicum,nuclear transcription factor Y subunit B-3(LOC101258170),Solyc03g111793.1,Solyc03g111793.1.1,,,
101267082,Solyc02g069610.3,Solanum lycopersicum,vesicle transport protein GOT1-like(LOC101267082),Solyc04g011830.1,Solyc04g011830.1.1,,,
543613,Solyc05g007190.3,Solanum lycopersicum,sucrose transporter-like protein(SUT2),Solyc05g014200.3,Solyc05g014200.3.1,,,
101245290,Solyc09g082120.3,Solanum lycopersicum,lactoylglutathione lyase(LOC101245290),Solyc01g094550.3,Solyc01g094550.3.1,,,
543616,Solyc11g017300.2,Solanum lycopersicum,COP9 signalosome complex subunit CSN5(csn5),Solyc01g096930.3,Solyc01g096930.3.1,,,
101246142,Solyc05g050600.3,Solanum lycopersicum,dynamin-related protein 5A(LOC101246142),Solyc03g031600.3,Solyc03g031600.3.1,,,
543612,Solyc02g084720.3,Solanum lycopersicum,beta-galactosidase 6(TBG6),Solyc04g063210.3,Solyc04g063210.3.1,,,
101263959,Solyc11g005360.2,Solanum lycopersicum,protein BOLA2(LOC101263959),Solyc06g005100.3,Solyc06g005100.3.1,,,
101257277,Solyc06g082010.3,Solanum lycopersicum,zinc finger CCCH domain-containing protein 66(LOC101257277),Solyc06g066540.1,Solyc06g066540.1.1,,,
101255091,Solyc04g080170.3,Solanum lycopersicum,probable serine/threonine protein kinase IRE4(LOC101255091),Solyc09g063060.3,Solyc09g063060.3.1,,,
101257271,Solyc06g071550.3,Solanum lycopersicum,"anthranilate phosphoribosyltransferase, chloroplastic(LOC101257271)",Solyc11g013190.2,Solyc11g013190.2.1,,,
101250639,Solyc10g045550.2,Solanum lycopersicum,ras-related protein RABA2a(LOC101250639),Solyc12g007170.2,Solyc12g007170.2.1,,,
101258121,Solyc02g080270.3,Solanum lycopersicum,vacuolar protein sorting-associated protein 28 homolog 2(LOC101258121),Solyc04g005860.3,Solyc04g005860.3.1,,,
101267089,Solyc02g079150.2,Solanum lycopersicum,F-box protein At1g61340(LOC101267089),Solyc05g054965.1,Solyc05g054965.1.1,,,
101262636,Solyc07g063850.3,Solanum lycopersicum,protein GRETCHEN HAGEN 3-9(GH3-9),Solyc05g046320.1,Solyc05g046320.1.1,,,
101261300,Solyc03g006510.3,Solanum lycopersicum,clathrin light chain 1(LOC101261300),Solyc06g083270.3,Solyc06g083270.3.1,,,
101248324,Solyc09g011160.3,Solanum lycopersicum,ultraviolet-B receptor UVR8(LOC101248324),Solyc11g012090.2,Solyc11g012090.2.1,,,
101263965,Solyc02g082450.3,Solanum lycopersicum,protein PIN-LIKES 7-like(LOC101263965),Solyc02g078120.2,Solyc02g078120.2.1,,,
101260455,Solyc08g007840.2,Solanum lycopersicum,ethylene-responsive transcription factor ERF027-like(LOC101260455),Solyc02g071180.3,Solyc02g071180.3.1,,,
101246149,Solyc06g072330.3,Solanum lycopersicum,mitochondrial import inner membrane translocase subunit TIM14-3-like(LOC101246149),Solyc04g011810.1,Solyc04g011810.1.1,,,
101267093,Solyc12g010010.2,Solanum lycopersicum,probable cyclic nucleotide-gated ion channel 5(LOC101267093),Solyc02g082910.3,Solyc02g082910.3.1,,,
101245282,Solyc09g014860.3,Solanum lycopersicum,protein LURP-one-related 10(LOC101245282),Solyc11g065920.2,Solyc11g065920.2.1,,,
543602,Solyc11g011340.2,Solanum lycopersicum,8-hydroxygeraniol dehydrogenase(LOC543602),Solyc03g031620.3,Solyc03g031620.3.1,,,
101267094,Solyc12g011370.2,Solanum lycopersicum,"cationic amino acid transporter 8, vacuolar(LOC101267094)",Solyc05g056100.3,Solyc05g056100.3.1,,,
543605,Solyc12g014100.2,Solanum lycopersicum,"homogentisate 1,2-dioxygenase(LOC543605)",Solyc07g007220.3,Solyc07g007220.3.1,,,
101248795,Solyc07g042130.3,Solanum lycopersicum,"pentatricopeptide repeat-containing protein At5g50390, chloroplastic(LOC101248795)",Solyc08g067810.3,Solyc08g067810.3.1,,,
101261308,Solyc03g119720.3,Solanum lycopersicum,triacylglycerol lipase 2(LOC101261308),Solyc03g095510.3,Solyc03g095510.3.1,,,
101248790,Solyc07g019670.3,Solanum lycopersicum,peroxisomal fatty acid beta-oxidation multifunctional protein AIM1(LOC101248790),Solyc03g116700.3,Solyc03g116700.3.1,,,
543601,Solyc11g011030.2,Solanum lycopersicum,Pto-responsive gene 1 protein(Prg1),Solyc05g050220.3,Solyc05g050220.3.1,,,
101247462,Solyc01g087240.3,Solanum lycopersicum,nuclear transcription factor Y subunit A-9(LOC101247462),Solyc03g112870.3,Solyc03g112870.3.1,,,
543600,Solyc10g080770.2,Solanum lycopersicum,transcription factor TGA2.2(LOC543600),Solyc04g011800.1,Solyc04g011800.1.1,,,
101255089,Solyc04g076320.3,Solanum lycopersicum,argininosuccinate lyase(AS),Solyc05g015890.3,Solyc05g015890.3.1,,,
101257269,Solyc06g050130.3,Solanum lycopersicum,alpha-galactosidase 3(LOC101257269),Solyc07g008440.3,Solyc07g008440.3.1,,,
101252813,Solyc09g064940.3,Solanum lycopersicum,uncharacterized isomerase BH0283(LOC101252813),Solyc09g014280.1,Solyc09g014280.1.1,,,
543607,Solyc09g098160.3,Solanum lycopersicum,pirin(LOC543607),Solyc10g012430.3,Solyc10g012430.3.1,,,
101267091,Solyc12g005450.1,Solanum lycopersicum,probable receptor-like protein kinase At4g10390(LOC101267091),Solyc02g065720.3,Solyc02g065720.3.1,,,
101262640,Solyc08g061240.2,Solanum lycopersicum,epoxide hydrolase 4(LOC101262640),Solyc07g056110.3,Solyc07g056110.3.1,,,
101259441,Solyc05g054650.1,Solanum lycopersicum,zinc finger protein ZAT11-like(LOC101259441),Solyc08g062820.3,Solyc08g062820.3.1,,,
101262647,Solyc09g011740.3,Solanum lycopersicum,phosphatidylinositol:ceramide inositolphosphotransferase 2(LOC101262647),Solyc02g079170.3,Solyc02g079170.3.1,,,
101246136,Solyc05g010140.3,Solanum lycopersicum,proline-rich receptor-like protein kinase PERK9(LOC101246136),Solyc05g053940.3,Solyc05g053940.3.1,,,
101262646,Solyc01g007110.3,Solanum lycopersicum,uncharacterized LOC101262646(LOC101262646),Solyc08g036640.3,Solyc08g036640.3.1,,,
101246135,Solyc05g005160.3,Solanum lycopersicum,ATP-citrate synthase alpha chain protein 2(LOC101246135),Solyc10g074570.2,Solyc10g074570.2.1,,,
101264824,Solyc05g056570.3,Solanum lycopersicum,calcium-dependent protein kinase SK5(LOC101264824),Solyc12g009210.2,Solyc12g009210.2.1,,,
101249643,Solyc05g052950.3,Solanum lycopersicum,ultraviolet-B receptor UVR8(LOC101249643),Solyc12g088190.2,Solyc12g088190.2.1,,,
101260464,Solyc01g010180.3,Solanum lycopersicum,uncharacterized LOC101260464(LOC101260464),Solyc03g111730.3,Solyc03g111730.3.1,,,
101262645,Solyc01g007190.3,Solanum lycopersicum,uncharacterized LOC101262645(LOC101262645),Solyc04g049790.3,Solyc04g049790.3.1,,,
101250661,Solyc11g072500.2,Solanum lycopersicum,dof zinc finger protein DOF5.3(LOC101250661),Solyc01g087590.3,Solyc01g087590.3.1,,,
104645412,Solyc01g008300.2,Solanum lycopersicum,BAHD acyltransferase At5g47980-like(LOC104645412),Solyc01g106420.3,Solyc01g106420.3.1,,,
101248344,Solyc10g080930.2,Solanum lycopersicum,probable mediator of RNA polymerase II transcription subunit 26b(LOC101248344),Solyc10g050160.2,Solyc10g050160.2.1,,,
101247497,Solyc12g013690.2,Solanum lycopersicum,monooxygenase 2(LOC101247497),Solyc10g078770.2,Solyc10g078770.2.1,,,
101247013,Solyc04g079820.3,Solanum lycopersicum,type IV inositol polyphosphate 5-phosphatase 11(LOC101247013),Solyc03g083460.3,Solyc03g083460.3.1,,,
101267064,Solyc01g100230.3,Solanum lycopersicum,dnaJ homolog subfamily B member 3(LOC101267064),Solyc04g071880.3,Solyc04g071880.3.1,,,
